Day,State ID,Lat,Long_,Active,Incident_Rate,Total_Test_Results,Case_Fatality_Ratio,Testing_Rate,Resident Population 2020 Census,Population Density 2020 Census,Density Rank 2020 Census,SexRatio,Confirmed,Deaths,Recovered
2,1,-1.178242975692986,0.3044759470911969,-0.20064108142109963,0.14397608454314828,-0.48339256656050494,-0.4752296720075875,-1.3017446337081606,-0.12857922717029224,-0.21701258382788013,0.11874519052448958,-1.1682553368383635,True,False,False
2,2,3.6076110360618943,-3.0319332546180195,-0.44896653588835583,-0.290209445608251,-0.5693713776246773,-1.7979485589851676,2.071153809718205,-0.7541735854660176,-0.27675233088216605,1.614369137844846,3.491260168470716,True,True,False
2,3,-0.9457083737484653,-0.9449259448757052,0.3890433509824491,0.088510579686225,-0.0074913605601952945,0.07571336127087627,-1.2689524617770989,0.18156140284310077,-0.23916327655587383,0.5089079593906696,0.38491649826466307,True,True,True
2,4,-0.7414581237123271,0.025815759697040534,-0.48235864575128246,0.20217834918375027,-0.45645691871106936,-0.02994125403396738,-0.5591528670952415,-0.4220308792832145,-0.24221433616028065,0.5739350875350328,-0.5469866027971527,True,True,True
2,5,-0.5525937704044551,-1.3651675932775382,4.275448230709927,-0.5024169905666621,4.02208856624737,-0.7910623688084939,-0.17754317519158985,4.903416166075722,-0.12273484205170869,-0.9216888597853236,0.38491649826466307,True,True,False
2,6,-0.06769092662159025,-0.6331930698170338,0.11192078842388473,-0.5698409378605004,-0.11390290300463052,-0.27802712275171937,-0.344107445825746,-0.019314592924570398,-0.24355680238621966,0.7690164719681228,1.0061852323058735,True,True,True
2,7,0.350396930940887,1.0250612006274975,-0.17668520858872885,-0.8115585688200682,-0.12697395819987545,2.400789678537891,0.7631834802444443,-0.33536681383612166,0.1768792111010433,-1.376878756795867,-0.857620969817758,True,True,False
2,8,-0.025074957846408244,0.8849008515647462,-0.45167103427386557,-0.5020648694556017,-0.6121421598680108,-0.0779407029219422,0.24571472620749116,-0.7167685980179005,0.03244204942842334,-1.2468245005071403,-1.1682553368383635,True,True,False
2,9,-0.09444327810628236,0.8074935460915247,-0.5155228370143767,-1.311031854344726,-0.6235760792025684,1.603044037850401,0.9147014453464017,-0.760566157407731,6.605644861162526,-1.7020143975176836,-0.5469866027971527,True,True,True
2,10,-1.9280830540376042,0.5701321961506071,2.1812995756510194,-0.388330748403009,1.5275243247304326,-0.07276360464872594,-0.42823243782282083,2.2790827015993806,-0.03260654133753056,-1.1167702442184135,-0.5469866027971527,True,True,False
2,11,-1.059241136330049,0.470486271496226,0.8406884764000815,-0.32554272719514626,0.023727644586112963,-0.04742876760355416,-0.9925812099826459,0.7006543987083507,-0.16429027386372985,-0.5315260909191436,-0.857620969817758,True,True,False
